dato;Tid;timer;min;sum i T;Note
07/Jan;18-19:00;1;0;1;Møde plus noter til møde
08/Jan;8:15-13:00;5;15;6,25;Activate license, se tegningsmateriale, sammenlign tegninger, overblik + statisk system
09/Jan;9:00-13:15;4;15;10,5;Tegningsmateriale + opstilling af FEM-model
12/Jan;12-14:00;2;0;12,5;FEM-model - modellering af tagkonstruktion
13/Jan;14:30-19:00;4;30;17;FEM-model - modellering af tagkonstruktion
14/Jan;10:45-12:30;1;15;18,25;FEM-model - start lastkombinationer
(15-30)-01;-;0;0;18,25;Ferie i Afrika, start virksomheds, hjælp Nadia med bachelor
31/Jan;9:30-13:00;3;30;21,75;FEM-model - tilføj bjælkelag + lastkombinationer
31/Jan;14:30-17:00;2;30;24,25;FEM-model - tilføj bjælkelag + lastkombinationer
05/Feb;9:00-14:00;5;0;29,25;Opdatering af FEM-model, opdater cladding til vindzoner, start bestemmelse af formfaktor, lave Python-script til at omsætte Excel-reaktionsdata fra FEM-model til linjelaster i de relevante områder
05/Feb;14:14-15:15;1;0;30,25;Opdatering af FEM-model, opdater cladding til vindzoner, start bestemmelse af formfaktor, lave Python-script til at omsætte Excel-reaktionsdata fra FEM-model til linjelaster i de relevante områder
05/Feb;16:00-18:45;2;45;33;Opdatering af FEM-model, opdater cladding til vindzoner, start bestemmelse af formfaktor, lave Python-script til at omsætte Excel-reaktionsdata fra FEM-model til linjelaster i de relevante områder
06/Feb;9:00-12:00;3;0;36;Færdig bestemmelse af formfaktor (ud fra vinkelrange +/- ~5 grader) givet usikkerheden mellem arkitekttegninger og samlet tegningsmateriale, opdater tværsnitsdimensioner, lave de rene vindlasttilfælde for max sug og max tryk
06/Feb;14:45-15:45;1;0;37;Færdig bestemmelse af formfaktor (ud fra vinkelrange +/- ~5 grader) givet usikkerheden mellem arkitekttegninger og samlet tegningsmateriale, opdater tværsnitsdimensioner, lave de rene vindlasttilfælde for max sug og max tryk
10/Feb;10:45-14:30;3;45;40,75;Lastkombinationer
10/Feb;18:30-20:00;1;30;42,25;Lastkombinationer
11/Feb;-;0;45;43;Møde + noter efter (Model 2)
20/Feb;17:00-19:00;2;0;45;Model 2 - geometri
20/Feb;20:20-21:20;1;0;46;Model 2 - geometri
23/Feb;9:15-12:45;3;45;49,75;Model 2 - geometri
23/Feb;13:00-15:00;2;0;51,75;Model 2 - geometri
23/Feb;17:15-18:30;1;15;53;Model 2 - geometri
;;;;;
;;;;;
;;;;;
;;Sum timer:;53;;
